             core_51  |            lead_box  |  2 8 th fiber in the lead box  |                      0.3*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 51 
             core_52  |            lead_box  |  3 8 th fiber in the lead box  |                       0.3*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 52 
             core_53  |            lead_box  |  4 8 th fiber in the lead box  |                       0.3*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 53 
             core_54  |            lead_box  |  5 8 th fiber in the lead box  |                        0.3*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 54 
             core_55  |            lead_box  |  0 9 th fiber in the lead box  |                       0.4*cm -0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 55 
             core_56  |            lead_box  |  1 9 th fiber in the lead box  |                      0.4*cm -0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 56 
             core_57  |            lead_box  |  2 9 th fiber in the lead box  |                      0.4*cm -0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 57 
             core_58  |            lead_box  |  3 9 th fiber in the lead box  |                       0.4*cm 0.1366025404*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 58 
             core_59  |            lead_box  |  4 9 th fiber in the lead box  |                       0.4*cm 0.4098076212*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 59 
             core_60  |            lead_box  |  5 9 th fiber in the lead box  |                        0.4*cm 0.683012702*cm 0*cm  |                       0*deg 0*deg 0*deg  | FFFFFF   |                Tube  |                            0*cm 0.046*cm 2*cm 0*deg 360*deg  |                core  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                        fibera manual 60 
